# EG81
  3200.00   12.58  50.
  3250.00   12.52  50.
  3300.00   12.51  50.
  3350.00   12.50  50.
  3400.00   12.55  50.
  3450.00   12.58  50.
  3500.00   12.61  50.
  3550.00   12.62  50.
  3600.00   12.66  50.
  3650.00   12.68  50.
  3700.00   12.72  50.
  3750.00   12.71  50.
  3800.00   12.76  50.
  3850.00   12.78  50.
  3900.00   12.80  50.
  3950.00   12.83  50.
  4000.00   12.82  50.
  4050.00   12.81  50.
  4100.00   12.91  50.
  4150.00   12.84  50.
  4200.00   12.83  50.
  4250.00   12.84  50.
  4300.00   12.87  50.
  4350.00   13.01  50.
  4400.00   12.94  50.
  4450.00   12.97  50.
  4500.00   12.96  50.
  4550.00   12.98  50.
  4600.00   12.98  50.
  4650.00   13.01  50.
  4700.00   13.05  50.
  4750.00   13.04  50.
  4800.00   13.07  50.
  4850.00   13.20  50.
  4900.00   13.15  50.
  4950.00   13.12  50.
  5000.00   13.16  50.
  5050.00   13.17  50.
  5100.00   13.19  50.
  5150.00   13.22  50.
  5200.00   13.23  50.
  5250.00   13.22  50.
  5300.00   13.24  50.
  5350.00   13.25  50.
  5400.00   13.27  50.
  5450.00   13.27  50.
  5500.00   13.29  50.
  5550.00   13.30  50.
  5600.00   13.29  50.
  5650.00   13.33  50.
  5700.00   13.33  50.
  5750.00   13.34  50.
  5800.00   13.35  50.
  5850.00   13.38  50.
  5900.00   13.45  50.
  5950.00   13.42  50.
  6000.00   13.43  50.
  6050.00   13.45  50.
  6100.00   13.46  50.
  6150.00   13.51  50.
  6200.00   13.54  50.
  6250.00   13.56  50.
  6300.00   13.57  50.
  6350.00   13.53  50.
  6400.00   13.56  50.
  6450.00   13.53  50.
  6500.00   13.54  50.
  6550.00   13.62  50.
  6600.00   13.55  50.
  6650.00   13.57  50.
  6700.00   13.60  50.
  6750.00   13.59  50.
  6800.00   13.60  50.
  6850.00   13.63  50.
  6900.00   13.69  50.
  6950.00   13.57  50.
  7000.00   13.55  50.
  7050.00   13.52  50.
  7100.00   13.58  50.
  7150.00   13.63  50.
  7200.00   13.67  50.
  7250.00   13.58  50.
  7300.00   13.55  50.
  7350.00   13.46  50.
  7400.00   13.45  50.
  7450.00   13.43  50.
  7500.00   13.45  50.
  7550.00   13.41  50.
  7600.00   13.85  50.
  7650.00   13.80  50.
  7700.00   13.52  50.
  7750.00   13.44  50.
  7800.00   13.43  50.
  7850.00   13.42  50.
  7900.00   13.43  50.
  7950.00   13.43  50.
  8000.00   13.35  50.
  8050.00   13.36  50.
  8100.00   13.34  50.
